FECHA,HORA,PARAM,ATM,AGU,CEN,PIN,LDO,MIR,OBL,SFE,TLA,VAL
2015-01-01,09:00,PM10,82.99,34.33,126.18,140.58,79.77,304.04,92.11,166.18,155.19,45.84
2015-01-01,09:00,CO,1.819,0.922,,1.835,1.062,1.062,1.143,1.166,0.852,1.334
2015-01-01,09:00,NO2,0.03882,0.02372,0.0388,0.02408,0.03292,0.02235,0.01975,0.01947,0.01338,0.03922
2015-01-01,09:00,SO2,0.00228,0.00053,,0.005,0.00357,0.00245,0.00195,0.00122,0.00278,0.00233
2015-01-01,10:00,O3,0.02725,0.023,0.02393,0.02293,0.0241,0.0234,0.02722,0.02077,0.02898,0.017
2015-01-01,10:00,PM10,92.26,42.46,69.78,82.95,49.48,103.0,64.98,118.9,94.0,67.3
2015-01-01,10:00,CO,1.347,0.645,,1.236,0.921,0.921,0.839,0.475,0.936,1.041
2015-01-01,10:00,NO2,0.03323,0.01568,0.01895,0.02112,0.01687,0.01888,0.01448,0.00765,0.01308,0.04383
2015-01-01,10:00,SO2,0.002,0.00083,,0.00492,0.00302,0.00122,0.00145,0.00058,0.00213,0.00447
2015-01-01,11:00,O3,0.04412,0.031,0.03763,0.033,0.03247,0.0297,0.03727,0.02432,0.03538,0.03363
2015-01-01,11:00,PM10,74.18,27.59,51.74,36.07,31.9,100.78,53.95,63.54,84.12,48.34
2015-01-01,11:00,CO,0.84,0.561,,0.717,0.673,0.673,0.854,0.413,0.788,0.842
2015-01-01,11:00,NO2,0.01945,0.01458,0.01478,0.0084,0.01352,0.01422,0.0159,0.00773,0.01237,0.02815
2015-01-01,11:00,SO2,0.00212,0.00083,,0.00497,0.0027,0.00098,0.00133,0.00042,0.00225,0.00298
2015-01-01,12:00,O3,0.06107,0.038,0.03903,0.04055,0.0366,0.03645,0.04538,0.02888,0.03497,0.0383
2015-01-01,12:00,PM10,57.25,25.26,41.29,25.36,28.19,55.58,49.18,57.28,59.7,35.32
2015-01-01,12:00,CO,0.783,0.469,,0.622,0.567,0.567,0.752,0.422,0.645,0.645
2015-01-01,12:00,NO2,0.01637,0.01193,0.01123,0.00542,0.01438,0.01063,0.01348,0.00545,0.0112,0.01817
2015-01-01,12:00,SO2,0.00205,0.00017,,0.00458,0.00285,0.001,0.00115,0.0002,0.00202,0.0024
2015-01-01,13:00,O3,0.05642,0.045,0.04258,0.04417,0.0396,0.03563,0.0481,0.03272,0.04148,0.04818
2015-01-01,13:00,PM10,45.56,23.43,23.98,33.56,24.22,46.81,35.87,57.39,57.03,19.56
2015-01-01,13:00,CO,0.535,0.451,,0.812,0.545,0.545,0.649,0.424,0.577,0.601
2015-01-01,13:00,NO2,0.009,0.01005,0.0103,0.00592,0.0118,0.01583,0.01278,0.0069,0.00822,0.01225
2015-01-01,13:00,SO2,0.002,0.00063,,0.00402,0.003,0.00082,0.0013,0.0004,0.002,0.00192
2015-01-01,14:00,O3,0.05797,0.046,0.03995,0.04955,0.04532,0.042,0.0545,0.03257,0.04253,0.05722
2015-01-01,14:00,PM10,30.79,29.99,27.87,34.14,23.51,43.38,28.86,64.43,45.78,23.48
2015-01-01,14:00,CO,0.564,0.524,,0.686,0.534,0.534,0.591,0.52,0.555,0.562
2015-01-01,14:00,NO2,0.00877,0.01228,0.01275,0.00558,0.00985,0.01287,0.01205,0.01058,0.00788,0.0088
2015-01-01,14:00,SO2,0.002,0.00076,,0.004,0.0029,0.00073,0.00155,0.001,0.002,0.0019
2015-01-01,15:00,O3,0.05443,0.047,0.03745,0.05167,0.0441,0.04102,0.04893,0.0321,0.03945,0.05642
2015-01-01,15:00,PM10,25.16,28.42,29.89,36.55,25.03,51.05,35.01,66.51,45.66,29.11
2015-01-01,15:00,CO,0.374,0.461,,0.694,0.622,0.622,0.568,0.548,0.54,0.589
2015-01-01,15:00,NO2,0.00602,0.01105,0.01455,0.00542,0.00892,0.01382,0.01092,0.01028,0.00878,0.00887
2015-01-01,15:00,SO2,0.002,0.00082,,0.004,0.00282,0.00075,0.0016,0.00102,0.00198,0.00197
2015-01-01,16:00,O3,0.05028,0.049,0.03657,0.052,0.04205,0.03847,0.04573,0.02877,0.03258,0.05515
2015-01-01,16:00,PM10,27.51,25.47,37.86,41.45,24.08,51.2,33.43,70.68,41.94,28.21
2015-01-01,16:00,CO,0.426,0.387,,0.654,0.56,0.56,0.553,0.609,0.588,0.566
2015-01-01,16:00,NO2,0.0055,0.00592,0.01278,0.00452,0.0107,0.0121,0.01239,0.01272,0.00978,0.00808
2015-01-01,16:00,SO2,0.002,0.0007,,0.004,0.003,0.00092,0.00175,0.001,0.00278,0.00195
2015-01-01,17:00,O3,0.04253,0.044,0.03355,,0.03665,0.03692,0.0402,0.0258,0.03003,0.04912
2015-01-01,17:00,PM10,15.49,28.3,28.01,,28.3,35.8,28.25,62.86,51.3,29.42
2015-01-01,17:00,CO,0.373,0.424,,0.965,0.63,0.63,0.634,0.809,0.706,0.573
2015-01-01,17:00,NO2,0.00968,0.00758,0.01452,0.0094,0.01665,0.01377,0.01535,0.01982,0.0131,0.01022
