FECHA,PARAM,ATM,OBL,LDO,TLA,CEN,VAL,AGU,MIR,PIN,SFE
2014-01-01,O3,0.0029583333333333336,0.009041666666666667,0.005791666666666667,0.007416666666666668,0.0073750000000000005,0.011833333333333335,0.008333333333333333,0.004625,0.005874999999999999,0.005458333333333333
2014-01-01,PM10,36.9125,39.50000000000001,62.10416666666668,52.591666666666676,46.80833333333333,28.808333333333326,32.675000000000004,68.77083333333333,83.57083333333335,114.78683333333333
2014-01-01,CO,1.4862083333333331,1.6404166666666666,1.9332083333333336,1.5988333333333333,,,0.7160416666666666,1.908875,1.7998750000000001,1.7082916666666668
2014-01-01,NO2,0.014291666666666673,0.012958333333333336,0.020000000000000007,0.024250000000000004,0.018333333333333344,0.01725000000000001,0.018333333333333344,0.026291666666666675,0.018125000000000006,0.019166666666666676
2014-01-01,SO2,0.003500000000000002,0.0034166666666666672,0.0031250000000000006,0.0018333333333333344,0.012916666666666674,0.0023750000000000012,,0.008083333333333336,0.0012500000000000002,0.0022500000000000007
2014-01-02,O3,0.004541666666666667,0.013583333333333336,0.00775,0.010166666666666666,0.01,0.015583333333333333,0.007124999999999999,0.0057083333333333335,0.006333333333333334,0.009708333333333333
2014-01-02,PM10,30.958333333333332,42.770833333333336,37.658333333333324,55.04583333333335,78.13749999999999,27.1375,20.56666666666667,80.22916666666667,64.10416666666667,98.94237500000001
2014-01-02,CO,1.4151666666666667,1.8280416666666666,1.3460416666666666,1.9330833333333333,,,0.8116250000000002,1.5513333333333332,1.4488333333333332,0.9674999999999998
2014-01-02,NO2,0.016916666666666674,0.01541666666666667,0.020291666666666677,0.023500000000000007,0.020875,0.019625,0.02208333333333334,0.02783333333333334,0.016125,0.014208333333333337
2014-01-02,SO2,0.004250000000000001,0.0037916666666666676,0.0027500000000000007,0.0030416666666666678,0.013750000000000007,0.0016666666666666676,,0.009250000000000003,0.0014166666666666668,0.0015416666666666675
2014-01-03,O3,0.008208333333333333,0.021499999999999995,0.015333333333333338,0.014458333333333337,0.016208333333333335,0.023125000000000003,0.011291666666666667,0.008124999999999999,0.010499999999999997,0.014083333333333335
2014-01-03,PM10,25.675,26.4375,33.12083333333333,37.94583333333333,45.070833333333326,22.375,19.425,77.4375,57.150000000000006,69.392375
2014-01-03,CO,1.0800416666666666,0.7685416666666667,0.9908333333333332,1.0137083333333332,,,0.6565416666666666,1.1761666666666668,0.7027083333333333,0.8920416666666666
2014-01-03,NO2,0.014125000000000004,0.013500000000000003,0.016041666666666666,0.019583333333333335,0.017374999999999998,0.017124999999999998,0.022166666666666664,0.02675000000000001,0.009708333333333334,0.016083333333333328
2014-01-03,SO2,0.002458333333333334,0.006083333333333334,0.002166666666666667,0.0021250000000000006,0.012875000000000004,0.0016250000000000008,,0.009083333333333337,0.0004583333333333333,0.0015833333333333335
2014-01-04,O3,0.0050416666666666665,0.01404166666666667,0.012208333333333335,0.009875,0.009541666666666665,0.013375000000000003,0.009208333333333334,0.006791666666666668,0.006666666666666669,0.006875000000000002
2014-01-04,PM10,39.33333333333332,43.69166666666666,45.30416666666667,68.02916666666665,92.11250000000001,35.69583333333333,20.0875,105.27916666666664,152.44166666666666,132.954
2014-01-04,CO,1.7434166666666668,1.3447500000000001,1.1158333333333332,1.952,,,0.6839166666666667,1.155166666666667,2.0206250000000003,1.4677916666666668
2014-01-04,NO2,0.02304166666666667,0.020208333333333342,0.021250000000000005,0.029875000000000013,0.028916666666666674,0.024000000000000004,0.023083333333333334,0.03004166666666667,0.021375,0.021583333333333343
2014-01-04,SO2,0.0044166666666666686,0.004333333333333335,0.002083333333333334,0.002958333333333335,0.013708333333333338,0.0022083333333333343,,0.005541666666666668,0.002208333333333334,0.002500000000000001
2014-01-05,O3,0.00475,0.013166666666666669,0.010291666666666666,0.009416666666666665,0.009916666666666666,0.018166666666666675,0.011958333333333335,0.0076250000000000024,0.007708333333333335,0.008416666666666668
2014-01-05,PM10,26.86666666666667,31.28333333333333,44.65833333333333,34.083333333333336,32.06666666666666,15.141666666666666,11.695833333333333,47.9375,75.71249999999999,68.4646875
2014-01-05,CO,1.44425,1.0657083333333333,1.394375,1.2761666666666664,,,0.49679166666666674,1.0543333333333333,1.1617083333333331,1.2511666666666665
2014-01-05,NO2,0.019166666666666676,0.016750000000000004,0.021458333333333333,0.025416666666666674,0.021250000000000005,0.015958333333333338,0.015958333333333335,0.024208333333333342,0.013791666666666667,0.01895833333333334
2014-01-05,SO2,0.004375000000000001,0.004000000000000002,0.0036666666666666688,0.0021250000000000006,0.013583333333333341,0.0017500000000000007,,0.007333333333333337,0.0012500000000000002,0.0016666666666666676
2014-01-06,O3,0.002708333333333334,0.011083333333333334,0.006750000000000002,0.006666666666666668,0.007208333333333334,0.00875,0.005958333333333334,0.004125000000000001,0.0057083333333333335,0.0061666666666666675
2014-01-06,PM10,44.32916666666667,46.362500000000004,57.10833333333333,74.15833333333333,67.225,40.849999999999994,27.816666666666663,124.38750000000003,146.53750000000002,118.03065217391305
2014-01-06,CO,1.9568333333333332,2.066541666666667,1.4910416666666668,2.1009583333333337,,,0.9346666666666668,1.8006666666666662,1.9531666666666663,1.2756250000000002
2014-01-06,NO2,0.023916666666666673,0.019416666666666676,0.02812500000000001,0.03725000000000002,0.02950000000000001,0.03087500000000001,0.027833333333333345,0.041458333333333354,0.026958333333333345,0.025291666666666667
2014-01-06,SO2,0.0038750000000000013,0.0027916666666666676,0.0032916666666666684,0.0035416666666666687,0.014875000000000008,0.0026250000000000006,,0.009791666666666669,0.003166666666666668,0.002833333333333335
