FECHA,PARAM,AGU,ATM,CEN,PIN,LDO,MIR,OBL,SFE,TLA,VAL
2018-01-01,O3,0.02954166666666667,0.01970833333333333,0.02491666666666667,0.018541666666666665,0.030291666666666675,,0.02566666666666667,0.037,0.029833333333333337,0.034125
2018-01-01,PM10,51.62083333333333,49.84166666666667,86.58583333333335,147.0416666666667,101.11666666666666,140.15833333333336,61.72083333333335,107.05791666666669,89.575,51.633333333333354
2018-01-01,CO,0.9589583333333332,1.2462916666666666,1.0998750000000002,1.6175416666666667,1.2761666666666667,,1.0355416666666668,1.4395833333333332,1.3964583333333334,3.1309166666666663
2018-01-01,NO2,0.041500000000000016,0.026916666666666676,0.023375000000000003,0.04533333333333334,0.02216666666666667,0.025541666666666674,0.02466666666666667,0.011541666666666667,0.02550000000000001,0.020166666666666666
2018-01-01,SO2,0.0032250000000000004,0.002120833333333333,0.0025166666666666666,,0.0014833333333333337,0.0011875,0.0027458333333333328,0.003816666666666666,0.004187500000000001,0.0016499999999999996
2018-01-02,O3,0.026000000000000006,0.017374999999999998,0.024375000000000004,0.017291666666666667,0.02945833333333334,,0.02937500000000001,0.029541666666666674,0.029708333333333333,0.03020833333333334
2018-01-02,PM10,53.50416666666666,49.37916666666667,58.816666666666684,98.39583333333333,62.4375,68.1675,49.975,104.77991666666667,52.30000000000001,53.86666666666667
2018-01-02,CO,0.8920416666666666,1.2726666666666668,0.49233333333333335,0.829125,1.032,,0.9273333333333333,1.1725416666666666,0.8432083333333334,3.015625
2018-01-02,NO2,0.04345833333333335,0.033916666666666685,0.02500000000000001,0.04516666666666667,0.02279166666666667,0.024208333333333342,0.024833333333333343,0.014041666666666673,0.026583333333333344,0.023541666666666673
2018-01-02,SO2,0.003708333333333334,0.0021625,0.0020000000000000005,,0.0017541666666666667,0.0010500000000000002,0.002404166666666667,0.003841666666666667,0.0038041666666666675,0.001416666666666666
2018-01-03,O3,0.027375000000000007,0.01929166666666667,0.02454166666666667,0.017958333333333337,0.026583333333333337,0.03435714285714286,0.026958333333333338,0.035958333333333335,0.029625,0.036625000000000005
2018-01-03,PM10,54.691666666666656,48.37083333333334,73.11,133.72916666666666,68.16666666666666,102.33666666666666,44.95416666666667,115.57879166666667,62.90416666666666,50.537499999999994
2018-01-03,CO,1.0968333333333333,1.280375,1.1168749999999998,1.0768333333333333,1.006916666666667,0.7221428571428571,1.0060833333333332,1.2011666666666667,1.2438333333333331,0.5985833333333334
2018-01-03,NO2,0.050666666666666665,0.03387500000000001,0.030416666666666675,0.04708333333333333,0.02650000000000001,0.025958333333333347,0.028500000000000008,0.013750000000000004,0.02975000000000001,0.022875000000000003
2018-01-03,SO2,0.003929166666666668,0.0020666666666666667,0.0024458333333333333,,0.0023749999999999995,0.0011416666666666667,0.0021374999999999996,0.0040416666666666665,0.003745833333333334,0.0014916666666666665
2018-01-04,O3,0.028000000000000008,0.020875,0.029291666666666664,0.020875,0.031166666666666672,0.021125,0.033625,0.03341666666666667,0.034208333333333334,0.037375000000000005
2018-01-04,PM10,56.22083333333333,50.89166666666666,57.67791666666667,97.08749999999999,63.44166666666667,71.27166666666666,45.2125,105.94841666666663,58.11250000000001,59.37500000000002
2018-01-04,CO,0.9425,1.3234583333333334,0.28344444444444444,0.6536666666666668,0.7538571428571429,0.7485652173913045,1.2692916666666667,1.1748333333333336,1.04125,0.6727916666666668
2018-01-04,NO2,0.04687500000000001,0.031791666666666676,0.02566666666666667,0.04141666666666667,0.025708333333333337,0.02612500000000001,0.023250000000000003,0.013958333333333342,0.027791666666666676,0.02233333333333334
2018-01-04,SO2,0.0025625,0.0024416666666666666,0.002316666666666667,,0.0009916666666666665,0.0011833333333333333,0.0013458333333333332,0.0038083333333333333,0.0036874999999999994,0.0014208333333333328
2018-01-05,O3,0.02041666666666667,0.017583333333333333,0.020333333333333335,0.016458333333333332,0.023125000000000003,0.01758333333333333,0.025208333333333336,0.02904166666666667,0.022375000000000003,0.028416666666666673
2018-01-05,PM10,48.30833333333334,42.52916666666667,56.75208333333333,95.15416666666665,56.42083333333333,73.21875000000001,40.62083333333333,85.10904347826089,51.975000000000016,42.65833333333333
2018-01-05,CO,0.9610833333333334,1.176875,,0.7530833333333332,1.1744666666666668,0.7377083333333334,0.9014999999999999,1.2741666666666664,1.2028333333333334,0.5596250000000002
2018-01-05,NO2,0.04304166666666668,0.02795833333333334,0.027083333333333345,0.04225000000000001,0.02562500000000001,0.02358333333333334,0.026416666666666675,0.013250000000000003,0.028333333333333346,0.021083333333333332
2018-01-05,SO2,0.003525,0.002325,0.0024291666666666667,,0.0006083333333333331,0.0011541666666666668,0.0022208333333333338,0.0039250000000000005,0.0036541666666666667,0.0014124999999999995
2018-01-06,O3,0.02504166666666667,0.017041666666666667,0.022583333333333334,0.018416666666666665,0.02541666666666667,0.01883333333333333,0.02354166666666667,0.03266666666666667,0.025375000000000005,0.03166666666666666
2018-01-06,PM10,52.50833333333335,43.12916666666666,53.67416666666666,128.2125,54.275,78.9208333333333,42.47083333333333,99.58699999999999,59.324999999999996,45.224999999999994
2018-01-06,CO,0.9011666666666666,1.2903333333333333,,1.1527083333333337,1.2314166666666668,1.2343749999999998,1.4705833333333336,1.3805833333333333,1.4943333333333333,0.4552083333333334
2018-01-06,NO2,0.046250000000000006,0.029208333333333347,0.024874999999999998,0.04,0.02616666666666667,0.02512500000000001,0.02637500000000001,0.01479166666666667,0.02883333333333334,0.021
