FECHA,PARAM,ATM,OBL,PIN,SFE,TLA,VAL,CEN,AGU,LDO,MIR
2016-01-01,O3,0.018440416666666664,0.017703333333333335,0.01867958333333333,0.0152775,0.011994166666666667,0.025172499999999997,0.014179166666666665,0.021055833333333333,0.014218749999999997,0.014287500000000002
2016-01-01,PM10,56.328333333333326,54.16958333333335,,130.46666666666667,58.471250000000005,31.466666666666658,59.12583333333334,31.46249999999999,62.49541666666668,106.37125000000002
2016-01-01,CO,1.3827499999999997,0.8440833333333334,3.128083333333332,2.4597499999999997,2.0860833333333337,0.671875,0.8675862916666667,1.0341249999999997,1.6127083333333332,3.0699583333333327
2016-01-01,NO2,0.025950416666666667,0.019852916666666668,0.022599166666666667,0.020919999999999998,0.026332083333333336,0.014394999999999998,0.018536666666666667,0.02245791666666667,0.026988333333333333,0.030681249999999993
2016-01-01,SO2,0.0018191666666666666,0.0037520833333333334,,0.0027649999999999997,0.0027591666666666667,,0.0024408333333333326,0.00126,,0.007042916666666667
2016-01-02,O3,0.019750416666666663,0.02082208333333333,0.01741125,0.012637083333333335,0.011496666666666664,0.02339375,0.014627916666666666,0.01768708333333333,0.01383375,0.012771666666666669
2016-01-02,PM10,27.105,27.99666666666667,,117.11916666666667,24.69541666666667,23.215833333333336,28.47708333333333,20.548333333333336,30.357499999999998,178.88777777777779
2016-01-02,CO,0.7655833333333333,0.7424166666666666,0.6187666666666667,1.1439166666666665,0.9426625,0.3294583333333333,0.7538333333333335,0.612375,0.9081666666666665,0.9676249999999996
2016-01-02,NO2,0.01944666666666667,0.014636250000000002,0.020917083333333333,0.014129166666666667,0.02133,0.011496666666666669,0.013914583333333334,0.018746249999999996,0.022200833333333336,0.020325000000000003
2016-01-02,SO2,0.00171375,0.0047420833333333325,,0.0013033333333333334,0.002303958333333334,,0.0023904166666666674,0.0017416666666666665,0.002752916666666667,0.0012991666666666666
2016-01-03,O3,0.016381666666666666,0.01708458333333333,0.018371666666666668,0.012632916666666667,0.012057083333333331,0.022550833333333336,0.014082083333333334,0.019854583333333335,0.012037916666666667,0.014470833333333334
2016-01-03,PM10,20.9225,20.009166666666662,,127.14541666666666,20.437083333333334,12.79125,21.27958333333333,15.010416666666666,23.945833333333336,164.0333333333333
2016-01-03,CO,0.7995833333333334,0.74275,0.8647083333333335,1.1679583333333332,1.1115416666666667,0.34680000000000005,0.6794166666666669,0.47312499999999985,1.1645416666666666,0.8234166666666667
2016-01-03,NO2,0.020930416666666663,0.015394166666666667,0.016572916666666666,0.016189999999999996,0.023673749999999997,0.01282,0.016199166666666664,0.019132499999999997,0.02532208333333333,0.020237916666666668
2016-01-03,SO2,0.0014366666666666666,0.0032400000000000003,,0.0013770833333333335,0.0018258333333333336,,0.002365,0.0012520833333333338,0.0011903333333333338,0.003839166666666666
2016-01-04,O3,0.014717916666666666,0.014755000000000004,0.013430833333333331,0.00977,0.0094025,0.017035833333333337,0.011458333333333334,0.014080000000000002,0.010957916666666666,0.010442916666666668
2016-01-04,PM10,33.63249999999999,29.30125,,143.9125,31.592083333333346,27.12666666666666,33.182916666666664,23.246521739130436,38.508750000000006,131.33666666666667
2016-01-04,CO,0.8383750000000002,0.8822916666666666,0.8972500000000001,1.3967499999999997,1.2122499999999998,0.6326791666666667,0.7510625000000001,0.7743333333333333,1.139375,1.1780416666666669
2016-01-04,NO2,0.025947916666666668,0.019571666666666664,0.021915,0.019607083333333334,0.031139166666666662,0.019477500000000002,0.021526249999999997,0.02497083333333334,0.033085833333333335,0.02658791666666666
2016-01-04,SO2,0.002258333333333333,0.0037525,,0.0028479166666666674,0.0028450000000000003,,0.002392916666666667,0.0020716666666666665,0.00197125,0.0055987499999999996
2016-01-05,O3,0.014256666666666667,0.015092083333333332,0.015854999999999998,0.011148333333333335,0.010561250000000001,0.018003750000000002,0.011765,0.016224166666666668,0.011501666666666667,0.01406291666666667
2016-01-05,PM10,29.183333333333337,27.987499999999997,,123.8225,25.65375,17.73583333333333,30.28625,17.247083333333332,30.91083333333333,74.38291666666666
2016-01-05,CO,0.8751250000000002,0.8782500000000001,0.6985,1.2708749999999998,1.0130416666666666,0.2685716666666667,1.0879583333333331,0.607125,1.2127916666666667,0.8227500000000002
2016-01-05,NO2,0.025089583333333332,0.018295000000000002,0.08408217391304347,0.017705833333333327,0.023870000000000002,0.012756666666666668,0.017977916666666666,0.019050833333333333,0.026508749999999998,0.018040833333333336
2016-01-05,SO2,0.0019625000000000003,0.0037716666666666667,,0.0036754166666666654,0.0036804166666666665,,0.0024491666666666668,0.0021887499999999997,0.003162916666666666,0.0044754166666666675
2016-01-06,O3,0.012161250000000004,0.01214875,0.011914166666666668,0.00880875,0.008605,0.013600833333333333,0.008162083333333334,0.01181,0.0094175,0.009585416666666667
2016-01-06,PM10,30.317916666666672,29.418749999999992,,111.08125,29.599583333333324,22.451666666666664,36.78791666666667,17.886666666666667,36.92625,55.14684210526317
2016-01-06,CO,0.9915416666666665,0.9271666666666665,0.8660833333333332,1.4240833333333336,1.2416666666666667,0.4262166666666667,1.2315416666666665,0.7052083333333335,1.2484166666666667,0.9839583333333334
2016-01-06,NO2,0.02214125,0.01728708333333333,0.06866875,0.01665625,0.02276416666666667,0.015054166666666665,0.02051,0.01920083333333333,0.02405916666666667,0.020552916666666667
2016-01-06,SO2,0.002156666666666667,0.003489166666666666,,0.0040304166666666665,0.002755416666666667,,0.0024829166666666667,0.0021900000000000005,,0.004757083333333333
