_id,lat,long,id,nombre,codigo,redesid
5cccf5bee2705c19328205ef,19.272222222222,-99.207777777778,242,Ajusco Medio,AJM,119
5cccf5bee2705c19328205f0,19.577222222222,-99.254166666667,243,Atizapán,ATI,119
5cccf5bee2705c19328205f1,19.468611111111,-99.17,244,Camarones,CAM,119
5cccf5bee2705c19328205f2,19.326388888889,-99.176111111111,245,Centro de Ciencias de la Atmósfera,CCA,119
5cccf5bee2705c19328205f3,19.267222222222,-98.886111111111,246,Chalco,CHO,119
5cccf5bee2705c19328205f4,19.350277777778,-99.157222222222,247,Coyoacán,COY,119
5cccf5bee2705c19328205f5,19.365555555556,-99.291944444444,248,Cuajimalpa,CUA,119
5cccf5bee2705c19328205f6,19.722222222222,-99.198611111111,249,Cuautitlán,CUT,119
5cccf5bee2705c19328205f7,19.4825,-99.243611111111,250,FES Acatlán,FAC,119
5cccf5bee2705c19328205f8,19.411666666667,-99.152222222222,251,Hospital General de México,HGM,119
5cccf5bee2705c19328205f9,19.384444444444,-99.117777777778,252,Iztacalco,IZT,119
5cccf5bee2705c19328205fa,19.535,-99.117777777778,253,La Presa,LPR,119
5cccf5bee2705c19328205fb,19.578888888889,-99.039722222222,254,Los Laureles,LLA,119
5cccf5bee2705c19328205fc,19.424722222222,-99.119722222222,256,Merced,MER,119
5cccf5bee2705c19328205fd,19.460416666667,-98.902861111111,257,Montecillo,MON,119
5cccf5bee2705c19328205fe,19.393888888889,-99.028333333333,258,Nezahualcóyotl,NEZ,119
5cccf5bee2705c19328205ff,19.325277777778,-99.204166666667,259,Pedregal,PED,119
5cccf5bee2705c1932820600,19.533055555556,-99.030555555556,260,San Agustín,SAG,119
5cccf5bee2705c1932820601,19.3575,-99.263055555556,262,Santa Fe,SFE,119
5cccf5bee2705c1932820602,19.404,-99.202722222222,263,Miguel Hidalgo,MGH,119
5cccf5bee2705c1932820603,19.246666666667,-99.010833333333,265,Tlahuac,TAH,119
5cccf5bee2705c1932820604,19.529166666667,-99.204722222222,266,Tlalnepantla,TLA,119
5cccf5bee2705c1932820605,19.602777777778,-99.177222222222,267,Tultitlán,TLI,119
5cccf5bee2705c1932820606,19.360833333333,-99.073888888889,268,UAM Iztapalapa,UIZ,119
5cccf5bee2705c1932820607,19.304444444444,-99.103888888889,269,UAM Xochimilco,UAX,119
5cccf5bee2705c1932820608,19.6575,-99.096666666667,270,Villa de las Flores,VIF,119
5cccf5bee2705c1932820609,19.526111111111,-99.0825,271,Xalostoc,XAL,119
5cccf5bee2705c193282060a,20.508972222222,-97.446986111111,291,Universidad Veracruzana,PR-03,120
5cccf5bee2705c193282060b,20.08525,-98.366638888889,292,Tulancingo,TLN,121
5cccf5bee2705c193282060c,16.850330555556,-99.903738888889,293,Protección Civil,PC,122
5cccf5bee2705c193282060d,22.774797222222,-102.57445833333,294,Explanada del Congreso,CDA,118
5cccf5bee2705c193282060e,17.094666666667,-96.752166666667,297,Casa Hogar,CHO,73
5cccf5bee2705c193282060f,19.199166666667,-99.010833333333,299,Milpa Alta,MPA,119
5cccf5bee2705c1932820610,19.371666666667,-99.159166666667,300,Benito Juárez,BJU,119
5cccf5bee2705c1932820611,19.292222222222,-99.380555555556,301,Instituto Nacional de Investigaciones Nucleares,INN,119
5cccf5bee2705c1932820612,19.482777777778,-99.094722222222,302,Gustavo A. Madero,GAM,119
5cccf5bee2705c1932820613,21.903,-102.28461111111,303,Instituto Educativo,IED,30
5cccf5bee2705c1932820614,25.421472222222,-100.99686111111,304,Finanzas,FIN,123
5cccf5bee2705c1932820615,26.908194444444,-101.427,305,Jurisdicción Sanitaria,JUR,124
5cccf5bee2705c1932820616,28.707666666667,-100.5265,306,Centro de Rehabilitación DIF,DIF,125
5cccf5bee2705c1932820617,19.336555555556,-99.075111111111,317,Cerro de la estrella,CES,119
5cccf5bee2705c1932820618,19.423055555556,-99.084722222222,320,Hangares,HAN,119
5cccf5bee2705c1932820619,19.469708333333,-99.117922222222,325,La Villa,LVI,119
5cccf5bee2705c193282061a,19.367027777778,-99.200104722222,332,Plateros,PLA,119
5cccf5bee2705c193282061b,25.544416666667,-103.4295,340,Hospital Infantil,HOS,113
5cccf5bee2705c193282061c,25.539194444444,-103.52322222222,342,Lerdo,LE,44
5cccf5bee2705c193282061d,20.914755555556,-100.74380555556,352,Presidencia Municipal,PRE-SMA,130
5cccf5bee2705c193282061e,20.425277777778,-101.19805555556,356,Presidencia Municipal,ABA,134
5cccf5bee2705c193282061f,21.295861111111,-100.52330555556,358,Presidencia Municipal,SLP,136
